Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Trade ID,Imported From,Add Date,Date
Trade,0.1,FIL,0.4378,USDT,0.0006,FIL,Binance US,53645554,,2303913770,Binance US CSV,2025-06-19,08-11-2023 17:01:00
Trade,6.09,FIL,26.69247,USDT,0.03654,FIL,Binance US,53645554,,2303913772,Binance US CSV,2025-06-19,08-11-2023 17:01:00
Trade,5.81,FIL,25.43618,USDT,0.03486,FIL,Binance US,53645554,,2303913773,Binance US CSV,2025-06-19,08-11-2023 17:01:00
Trade,332.0,FET,124.7656,USDT,1.992,FET,Binance US,53645554,,2303914110,Binance US CSV,2025-06-19,08-11-2023 17:02:00
Trade,1956.0,FET,734.6736,USDT,11.736,FET,Binance US,53645554,,2303914108,Binance US CSV,2025-06-19,08-11-2023 17:02:00
Trade,212.0,FET,79.818,USDT,1.272,FET,Binance US,53645554,,2303914109,Binance US CSV,2025-06-19,08-11-2023 17:02:00
Trade,50.0,FET,18.79,USDT,0.3,FET,Binance US,53645554,,2303914192,Binance US CSV,2025-06-19,08-11-2023 17:05:00
Trade,50.0,ICP,211.5,USDT,0.2,ICP,Binance US,53645554,,2303914782,Binance US CSV,2025-06-19,08-11-2023 17:07:00
Trade,7.27,ICP,30.84661,USDT,0.04362,ICP,Binance US,53645554,,2303914850,Binance US CSV,2025-06-19,08-11-2023 17:09:00
Trade,3.85,ICP,16.51265,USDT,0.0231,ICP,Binance US,53645554,,2303914851,Binance US CSV,2025-06-19,08-11-2023 17:09:00
Trade,1.51,ICP,6.38881,USDT,0.00906,ICP,Binance US,53645554,,2303914846,Binance US CSV,2025-06-19,08-11-2023 17:09:00
Trade,187.99,ICP,797.82956,USDT,1.12794,ICP,Binance US,53645554,,2303914847,Binance US CSV,2025-06-19,08-11-2023 17:09:00
Trade,10.53,ICP,45.36324,USDT,0.06318,ICP,Binance US,53645554,,2303914857,Binance US CSV,2025-06-19,08-11-2023 17:09:00
Trade,22.47,ICP,95.38515,USDT,0.13482,ICP,Binance US,53645554,,2303914865,Binance US CSV,2025-06-19,08-11-2023 17:09:00
